,fisherman_age,fisherman_experience_years,life_threatening_disaster_count,how_often_used_signs,how_long_used_signs_years,num_matched_rules,pattern_ratio,weighted_sum_norm,province_Aceh,province_D.I. Yogyakarta
75,60.0,30.0,6.0,20.0,30.0,0.0,0.0,0.0,1.0,0.0
76,42.0,15.0,6.0,5.5,15.0,0.0,0.0,0.0,1.0,0.0
77,42.0,15.0,4.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
78,42.0,15.0,6.0,20.0,15.0,0.0,0.0,0.0,1.0,0.0
79,37.0,10.0,4.0,3.5,10.0,1.0,1.5642857142857143,1.0,1.0,0.0
80,37.0,10.0,2.0,22.0,10.0,0.0,0.0,0.0,1.0,0.0
81,41.0,14.0,4.0,18.0,14.0,0.0,0.0,0.0,1.0,0.0
82,41.0,14.0,4.0,3.5,14.0,0.0,0.0,0.0,1.0,0.0
83,35.0,8.0,8.0,18.0,14.0,0.0,0.0,0.0,1.0,0.0
84,35.0,8.0,5.0,5.5,8.0,0.0,0.0,0.0,1.0,0.0
85,35.0,8.0,4.0,3.5,8.0,0.0,0.0,0.0,1.0,0.0
86,33.0,7.0,5.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0
87,33.0,7.0,2.0,22.0,7.0,0.0,0.0,0.0,1.0,0.0
88,28.0,4.0,4.0,18.0,4.0,2.0,3.1285714285714286,0.367256727481526,1.0,0.0
89,28.0,4.0,5.0,5.5,4.0,0.0,0.0,0.0,1.0,0.0
90,45.0,11.0,4.0,3.5,11.0,1.0,1.5642857142857143,1.0,1.0,0.0
91,45.0,11.0,5.0,18.0,11.0,0.0,0.0,0.0,1.0,0.0
92,47.0,15.0,6.0,5.0,15.0,0.0,0.0,0.0,1.0,0.0
93,47.0,15.0,4.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
94,47.0,15.0,2.0,22.0,15.0,0.0,0.0,0.0,1.0,0.0
95,29.0,8.0,5.0,6.0,8.0,2.0,3.1285714285714286,0.3308013108883839,1.0,0.0
96,29.0,8.0,4.0,3.5,8.0,0.0,0.0,0.0,1.0,0.0
97,39.0,9.0,5.0,5.5,9.0,0.0,0.0,0.0,1.0,0.0
98,39.0,9.0,3.0,20.0,9.0,0.0,0.0,0.0,1.0,0.0
99,37.0,8.0,4.0,5.5,8.0,0.0,0.0,0.0,1.0,0.0
100,37.0,8.0,2.0,20.0,8.0,0.0,0.0,0.0,1.0,0.0
101,35.0,7.0,5.0,5.5,7.0,0.0,0.0,0.0,1.0,0.0
102,35.0,7.0,4.0,3.5,7.0,0.0,0.0,0.0,1.0,0.0
103,45.0,10.0,6.0,18.0,15.0,4.0,6.257142857142857,0.7777155539870316,1.0,0.0
104,45.0,10.0,5.0,5.5,15.0,0.0,0.0,0.0,1.0,0.0
105,45.0,10.0,3.0,20.0,15.0,0.0,0.0,0.0,1.0,0.0
106,44.0,12.0,8.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0
107,44.0,12.0,4.0,6.0,12.0,0.0,0.0,0.0,1.0,0.0
108,44.0,12.0,7.0,3.5,12.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
109,47.0,14.0,2.0,18.0,14.0,0.0,0.0,0.0,1.0,0.0
110,47.0,14.0,4.0,20.0,14.0,0.0,0.0,0.0,1.0,0.0
111,28.0,6.0,7.0,6.5,6.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
112,28.0,6.0,6.0,20.0,6.0,0.0,0.0,0.0,1.0,0.0
113,24.0,2.0,5.0,18.0,2.0,4.0,6.257142857142857,0.7777155539870316,1.0,0.0
114,24.0,2.0,3.0,4.5,2.0,0.0,0.0,0.0,1.0,0.0
115,39.0,10.0,3.0,5.5,10.0,0.0,0.0,0.0,1.0,0.0
116,39.0,10.0,6.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0
117,40.0,15.0,7.0,20.0,15.0,6.0,9.385714285714286,1.0,1.0,0.0
118,40.0,15.0,4.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
119,55.0,26.0,1.0,30.0,26.0,8.0,12.514285714285714,0.7272727272727273,1.0,0.0
120,55.0,26.0,4.0,20.0,26.0,0.0,0.0,0.0,1.0,0.0
121,27.0,7.0,3.0,3.5,7.0,0.0,0.0,0.0,1.0,0.0
122,36.0,13.0,6.0,18.0,13.0,1.0,1.5642857142857143,0.18794468506539103,1.0,0.0
123,36.0,13.0,5.0,5.5,13.0,0.0,0.0,0.0,1.0,0.0
124,40.0,15.0,4.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
125,40.0,15.0,6.0,18.0,15.0,0.0,0.0,0.0,1.0,0.0
126,28.0,7.0,8.0,26.0,7.0,2.0,3.1285714285714286,0.3823735735621489,1.0,0.0
127,28.0,7.0,5.0,3.5,7.0,0.0,0.0,0.0,1.0,0.0
128,28.0,7.0,6.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
129,36.0,10.0,7.0,22.0,10.0,0.0,0.0,0.0,1.0,0.0
130,31.0,8.0,4.0,3.5,8.0,0.0,0.0,0.0,1.0,0.0
131,42.0,11.0,4.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0
132,42.0,11.0,8.0,5.5,11.0,0.0,0.0,0.0,1.0,0.0
133,47.0,17.0,7.0,18.0,17.0,2.0,3.1285714285714286,0.3888577769935158,1.0,0.0
134,47.0,17.0,5.0,3.5,17.0,0.0,0.0,0.0,1.0,0.0
135,25.0,5.0,2.0,3.5,5.0,0.0,0.0,0.0,1.0,0.0
136,25.0,5.0,6.0,3.5,5.0,0.0,0.0,0.0,1.0,0.0
137,33.0,20.0,3.0,16.0,20.0,1.0,1.5642857142857143,1.0,1.0,0.0
138,33.0,20.0,1.0,18.0,20.0,0.0,0.0,0.0,1.0,0.0
139,33.0,20.0,3.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0
140,29.0,8.0,5.0,16.0,8.0,0.0,0.0,0.0,1.0,0.0
141,47.0,29.0,5.0,4.5,29.0,1.0,1.5642857142857143,0.1944288884967579,1.0,0.0
142,47.0,29.0,4.0,4.0,29.0,0.0,0.0,0.0,1.0,0.0
143,28.0,8.0,2.0,3.5,8.0,1.0,1.5642857142857143,0.1579734719036158,1.0,0.0
144,28.0,8.0,1.0,1.5,8.0,0.0,0.0,0.0,1.0,0.0
145,40.0,25.0,3.0,14.0,25.0,0.0,0.0,0.0,1.0,0.0
146,40.0,25.0,1.0,18.0,25.0,0.0,0.0,0.0,1.0,0.0
147,40.0,25.0,3.0,1.5,25.0,0.0,0.0,0.0,1.0,0.0
148,55.0,35.0,1.0,4.5,2.0,1.0,1.5642857142857143,1.0,1.0,0.0
149,55.0,35.0,5.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0
150,55.0,35.0,2.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
151,27.0,4.0,1.0,3.5,15.0,0.0,0.0,0.0,1.0,0.0
152,45.0,25.0,1.0,4.5,25.0,0.0,0.0,0.0,1.0,0.0
153,45.0,25.0,1.0,1.5,25.0,0.0,0.0,0.0,1.0,0.0
154,29.0,13.0,5.0,10.0,13.0,1.0,1.5642857142857143,0.1728278389847681,1.0,0.0
155,29.0,13.0,4.0,4.5,13.0,0.0,0.0,0.0,1.0,0.0
156,39.0,20.0,1.0,4.5,20.0,0.0,0.0,0.0,1.0,0.0
157,37.0,20.0,3.0,5.5,12.0,1.0,1.5642857142857143,1.0,1.0,0.0
158,45.0,26.0,4.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0
159,47.0,30.0,2.0,26.0,30.0,4.0,6.257142857142857,0.7777155539870316,1.0,0.0
160,47.0,30.0,3.0,26.0,30.0,0.0,0.0,0.0,1.0,0.0
161,47.0,30.0,2.0,6.0,30.0,0.0,0.0,0.0,1.0,0.0
162,47.0,30.0,2.0,12.0,30.0,0.0,0.0,0.0,1.0,0.0
163,20.0,2.0,1.0,30.0,15.0,11.0,17.207142857142856,1.0,1.0,0.0
164,20.0,2.0,5.0,3.5,1.0,0.0,0.0,0.0,1.0,0.0
165,20.0,2.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0
166,39.0,19.0,2.0,18.0,19.0,4.0,6.257142857142857,0.7206573034707956,1.0,0.0
167,39.0,19.0,3.0,18.0,19.0,0.0,0.0,0.0,1.0,0.0
168,47.0,31.0,1.0,6.0,31.0,0.0,0.0,0.0,1.0,0.0
169,47.0,31.0,2.0,6.0,31.0,0.0,0.0,0.0,1.0,0.0
170,26.0,7.0,3.0,18.0,7.0,0.0,0.0,0.0,1.0,0.0
171,26.0,7.0,3.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0
172,40.0,25.0,3.0,18.0,25.0,3.0,4.692857142857143,0.5785348234554128,1.0,0.0
173,40.0,25.0,1.0,18.0,25.0,0.0,0.0,0.0,1.0,0.0
174,24.0,10.0,1.0,3.5,10.0,0.0,0.0,0.0,1.0,0.0
175,24.0,10.0,1.0,14.0,10.0,0.0,0.0,0.0,1.0,0.0
176,62.0,43.0,3.0,18.0,43.0,0.0,0.0,0.0,1.0,0.0
177,62.0,43.0,2.0,18.0,43.0,1.0,1.5642857142857143,1.0,1.0,0.0
178,62.0,43.0,4.0,18.0,43.0,0.0,0.0,0.0,1.0,0.0
179,62.0,43.0,1.0,18.0,43.0,0.0,0.0,0.0,1.0,0.0
180,62.0,43.0,1.0,18.0,43.0,0.0,0.0,0.0,1.0,0.0
181,45.0,26.0,7.0,3.5,20.0,0.0,0.0,0.0,1.0,0.0
182,45.0,26.0,6.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0
183,22.0,7.0,1.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
184,45.0,26.0,3.0,18.0,26.0,0.0,0.0,0.0,1.0,0.0
185,45.0,26.0,2.0,8.0,26.0,0.0,0.0,0.0,1.0,0.0
186,36.0,18.0,2.0,18.0,18.0,1.0,1.5642857142857143,0.18967704646189715,1.0,0.0
187,36.0,18.0,3.0,6.0,18.0,0.0,0.0,0.0,1.0,0.0
188,51.0,32.0,5.0,22.0,32.0,4.0,6.257142857142857,0.7206573034707956,1.0,0.0
189,51.0,32.0,3.0,26.0,32.0,0.0,0.0,0.0,1.0,0.0
190,51.0,32.0,1.0,5.5,32.0,0.0,0.0,0.0,1.0,0.0
191,51.0,32.0,3.0,20.0,32.0,0.0,0.0,0.0,1.0,0.0
192,28.0,8.0,2.0,5.5,8.0,1.0,1.5642857142857143,1.0,1.0,0.0
193,28.0,8.0,4.0,3.5,8.0,0.0,0.0,0.0,1.0,0.0
194,31.0,11.0,3.0,20.0,11.0,0.0,0.0,0.0,1.0,0.0
195,29.0,7.0,5.0,24.0,7.0,4.0,6.257142857142857,0.7777155539870316,1.0,0.0
196,29.0,7.0,7.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
197,24.0,5.0,5.0,6.0,13.0,2.0,3.1285714285714286,0.3888577769935158,1.0,0.0
198,36.0,13.0,2.0,10.0,13.0,0.0,0.0,0.0,1.0,0.0
199,36.0,13.0,5.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0
200,36.0,13.0,2.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0
201,34.0,10.0,1.0,20.0,10.0,0.0,0.0,0.0,1.0,0.0
202,34.0,10.0,4.0,18.0,10.0,0.0,0.0,0.0,1.0,0.0
203,47.0,17.0,6.0,6.0,17.0,1.0,1.5642857142857143,0.1728278389847681,1.0,0.0
204,47.0,17.0,4.0,5.5,17.0,0.0,0.0,0.0,1.0,0.0
205,42.0,15.0,4.0,4.5,15.0,1.0,1.5642857142857143,1.0,1.0,0.0
206,42.0,15.0,5.0,6.0,15.0,0.0,0.0,0.0,1.0,0.0
207,29.0,10.0,2.0,18.0,10.0,0.0,0.0,0.0,1.0,0.0
208,29.0,10.0,5.0,3.5,10.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
209,29.0,10.0,7.0,24.0,10.0,0.0,0.0,0.0,1.0,0.0
210,37.0,17.0,4.0,3.5,17.0,0.0,0.0,0.0,1.0,0.0
211,46.0,20.0,5.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0
212,46.0,20.0,3.0,16.0,20.0,0.0,0.0,0.0,1.0,0.0
213,28.0,14.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0
214,28.0,14.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0
215,28.0,14.0,10.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0
216,28.0,14.0,15.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0
217,22.0,8.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0
218,60.0,25.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
219,46.0,20.0,3.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
220,46.0,20.0,2.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
221,46.0,20.0,2.0,8.0,20.0,0.0,0.0,0.0,0.0,1.0
222,40.0,21.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0
223,40.0,21.0,5.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0
224,37.0,20.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
225,37.0,20.0,10.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
226,38.0,20.0,5.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0
227,38.0,20.0,4.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0
228,48.0,20.0,5.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
229,48.0,20.0,5.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
230,48.0,20.0,5.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
231,28.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
232,28.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
233,45.0,10.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0
234,45.0,10.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0
235,45.0,10.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0
236,46.0,20.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0
237,46.0,20.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0
238,46.0,20.0,2.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0
239,48.0,10.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
240,48.0,10.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
241,38.0,24.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,1.0
242,38.0,24.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,1.0
243,38.0,24.0,3.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
244,43.0,10.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0
245,43.0,10.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0
246,43.0,10.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0
